flashcard_type,topic,question,answer,explanation,hint,ordering_steps_items.step_content,ordering_steps_items.correct_order
Ordering Steps,6,Sắp xếp các bước để xây dựng biểu đồ hình quạt tròn từ một bảng số liệu.,Đây là quy trình chuẩn để trực quan hóa dữ liệu dạng cơ cấu.,"Các bước bao gồm việc xử lý số liệu thô thành tỉ lệ phần trăm, sau đó chuyển tỉ lệ phần trăm thành số đo góc tương ứng trên hình tròn, và cuối cùng là vẽ và hoàn thiện biểu đồ.",Bắt đầu bằng việc tính tỉ lệ phần trăm.,,
,,,,,,Xử lý số liệu: Tính tổng của tất cả các số liệu để có được quy mô của tổng thể.,1
,,,,,,Tính tỉ lệ phần trăm của từng thành phần so với tổng thể.,2
,,,,,,Tính số đo góc ở tâm tương ứng với mỗi thành phần: Số đo góc = (Tỉ lệ phần trăm / 100) * 360°.,3
,,,,,,Vẽ một đường tròn. Dùng thước đo góc để chia đường tròn thành các hình quạt có số đo góc đã tính.,4
,,,,,,"Ghi chú, tô màu và đặt tên cho biểu đồ để hoàn thiện.",5
Ordering Steps,6,Sắp xếp các bước giải bài toán xác suất bằng cách liệt kê.,Đây là phương pháp cơ bản nhất trong giải toán xác suất.,"Trình tự logic là phải xác định được phép thử và tất cả các kết quả có thể xảy ra trước, sau đó mới xác định biến cố và các kết quả thuận lợi cho nó, cuối cùng là áp dụng công thức.",Bắt đầu bằng việc xác định không gian mẫu.,,
,,,,,,Xác định rõ phép thử ngẫu nhiên được mô tả trong bài toán.,1
,,,,,,Liệt kê tất cả các kết quả có thể xảy ra của phép thử để xác định không gian mẫu Ω. Đếm số phần tử n(Ω).,2
,,,,,,Xác định rõ biến cố A mà bài toán yêu cầu tính xác suất.,3
,,,,,,Liệt kê tất cả các kết quả thuận lợi cho biến cố A. Đếm số phần tử n(A).,4
,,,,,,Áp dụng công thức tính xác suất: \(P(A) = \frac{n(A)}{n(\Omega)}\).,5
Ordering Steps,6,Sắp xếp các bước để lập bảng tần số ghép nhóm từ một dãy số liệu thô.,Đây là bước đầu tiên trong việc tổ chức và tóm tắt một tập dữ liệu lớn.,"Quy trình này giúp chuyển một dãy số liệu rời rạc, khó quan sát thành một bảng có cấu trúc, làm nổi bật sự phân bố của dữ liệu. Việc chọn số nhóm và độ rộng nhóm hợp lý là rất quan trọng.",Bắt đầu bằng việc tìm giá trị lớn nhất và nhỏ nhất.,,
,,,,,,Tìm giá trị nhỏ nhất (min) và giá trị lớn nhất (max) trong dãy số liệu.,1
,,,,,,Quyết định số lượng nhóm cần chia. Chọn độ rộng của mỗi nhóm sao cho bao phủ hết khoảng từ min đến max.,2
,,,,,,Xác định các nhóm (các khoảng giá trị). Các nhóm thường có dạng [a; b).,3
,,,,,,Duyệt qua từng giá trị trong dãy số liệu thô và đếm xem mỗi giá trị thuộc về nhóm nào. Ghi lại tần số (số lần đếm được) cho mỗi nhóm.,4
,,,,,,"Lập bảng gồm hai cột (hoặc hai hàng): một cột ghi tên các nhóm, cột còn lại ghi tần số tương ứng.",5
Ordering Steps,6,Sắp xếp các bước giải bài toán xác suất bằng cách sử dụng biến cố đối.,Phương pháp này đặc biệt hiệu quả khi biến cố cần tính phức tạp (ví dụ: 'có ít nhất một') trong khi biến cố đối của nó lại đơn giản hơn.,"Logic của phương pháp là tính xác suất của trường hợp 'ngược lại', sau đó lấy 1 trừ đi kết quả đó. Điều này dựa trên tính chất tổng xác suất của một biến cố và biến cố đối của nó luôn bằng 1.",Bắt đầu bằng việc xác định biến cố đối.,,
,,,,,,Xác định biến cố A cần tính xác suất.,1
,,,,,,Xác định biến cố đối \(\bar{A}\). Biến cố \(\bar{A}\) là biến cố 'A không xảy ra'.,2
,,,,,,Tính số phần tử của không gian mẫu n(Ω).,3
,,,,,,"Tính số kết quả thuận lợi cho biến cố đối \(\bar{A}\), ký hiệu là n(\(\bar{A}\)).",4
,,,,,,Tính xác suất của biến cố đối: \(P(\bar{A}) = \frac{n(\bar{A})}{n(\Omega)}\).,5
,,,,,,Tính xác suất của biến cố A: \(P(A) = 1 - P(\bar{A})\).,6
What's the Next Step?,6,"Trong một cuộc khảo sát, người ta thu được bảng tần số ghép nhóm về thu nhập của các hộ gia đình. Để vẽ biểu đồ đa giác tần số tương đối, ta đã tính được tần số tương đối của mỗi nhóm. Bước tiếp theo là gì?","Tìm giá trị đại diện (trung điểm) của mỗi nhóm thu nhập. Sau đó, xác định các điểm trên mặt phẳng tọa độ với hoành độ là giá trị đại diện và tung độ là tần số tương đối tương ứng.","Biểu đồ đa giác tần số (hay đường gấp khúc tần số) nối các điểm đại diện của các nhóm lại với nhau. Việc này giúp thể hiện hình dạng phân phối của dữ liệu một cách trực quan. Sau khi xác định các điểm, ta sẽ nối chúng lại bằng các đoạn thẳng.",Cần một giá trị cụ thể để đại diện cho mỗi khoảng (nhóm).,,
Ordering Steps,6,Sắp xếp các bước để ước tính mốt (mode) của một mẫu dữ liệu được cho dưới dạng bảng tần số ghép nhóm.,"Mốt của mẫu số liệu ghép nhóm là giá trị có tần số xuất hiện cao nhất, được ước tính dựa trên nhóm chứa mốt.","Mốt của dữ liệu ghép nhóm không phải là một giá trị cụ thể mà là một giá trị ước tính. Công thức này dựa trên giả định rằng sự phân bố tần số trong nhóm chứa mốt là tuyến tính, và mốt sẽ lệch về phía nhóm có tần số cao hơn.",Mốt nằm trong nhóm có tần số cao nhất.,,
,,,,,,Xác định nhóm có tần số lớn nhất. Nhóm này được gọi là nhóm chứa mốt.,1
,,,,,,"Xác định các yếu tố: u_i (đầu mút trái của nhóm chứa mốt), h (độ rộng nhóm), n_i (tần số nhóm chứa mốt), n_{i-1} (tần số nhóm ngay trước), n_{i+1} (tần số nhóm ngay sau).",2
,,,,,,Áp dụng công thức tính mốt cho dữ liệu ghép nhóm: \(M_o \approx u_i + \frac{n_i - n_{i-1}}{(n_i - n_{i-1}) + (n_i - n_{i+1})} \cdot h\).,3
,,,,,,Thực hiện phép tính để tìm giá trị ước tính của mốt.,4
Concept/Theorem/Formula,7,"Nêu điều kiện để phương trình bậc hai \(ax^2+bx+c=0\) (a≠0) có hai nghiệm trái dấu, hai nghiệm cùng dấu, hai nghiệm dương phân biệt, hai nghiệm âm phân biệt.","Gọi S là tổng, P là tích hai nghiệm. 
- Hai nghiệm trái dấu: P < 0. 
- Hai nghiệm cùng dấu: Δ ≥ 0 và P > 0. 
- Hai nghiệm dương phân biệt: Δ > 0, P > 0 và S > 0. 
- Hai nghiệm âm phân biệt: Δ > 0, P > 0 và S < 0.","Đây là ứng dụng quan trọng của hệ thức Vi-ét, cho phép biện luận tính chất của nghiệm mà không cần giải phương trình. P < 0 là đủ cho hai nghiệm trái dấu vì khi đó ac < 0 nên Δ > 0 luôn đúng.",Dựa vào dấu của tổng (S) và tích (P) hai nghiệm.,,
Concept/Theorem/Formula,7,"Nếu phương trình \(ax^2+bx+c=0\) (a≠0) có hai nghiệm \(x_1, x_2\), làm thế nào để lập một phương trình bậc hai có hai nghiệm là \(1/x_1\) và \(1/x_2\)?","Gọi S' và P' là tổng và tích của hai nghiệm mới. 
\(S' = \frac{1}{x_1} + \frac{1}{x_2} = \frac{x_1+x_2}{x_1x_2} = \frac{S}{P} = \frac{-b/a}{c/a} = -b/c\). 
\(P' = \frac{1}{x_1} \cdot \frac{1}{x_2} = \frac{1}{x_1x_2} = \frac{1}{P} = \frac{a}{c}\). 
Phương trình cần tìm là \(X^2 - S'X + P' = 0 \Leftrightarrow X^2 + \frac{b}{c}X + \frac{a}{c} = 0 \Leftrightarrow cX^2 + bX + a = 0\). (Điều kiện c ≠ 0)",Kết quả thú vị này cho thấy phương trình có nghiệm là nghịch đảo của phương trình ban đầu có các hệ số bị 'đảo ngược'. Đây là một bài toán vận dụng cao về hệ thức Vi-ét.,Sử dụng định lý Vi-ét đảo: \(X^2 - SX + P = 0\).,,
Concept/Theorem/Formula,7,Phát biểu định lý Vi-ét đảo.,"Nếu hai số u và v có tổng u + v = S và tích u * v = P thì hai số đó là hai nghiệm của phương trình bậc hai \(x^2 - Sx + P = 0\). Điều kiện để tồn tại hai số u, v là \(S^2 - 4P \ge 0\).","Định lý này cho phép tìm hai số khi biết tổng và tích của chúng, là một công cụ rất mạnh để giải các bài toán nhẩm nghiệm hoặc các bài toán liên quan đến hệ phương trình đối xứng.",Phương trình có dạng \(x^2 - (tổng)x + (tích) = 0\).,,
Concept/Theorem/Formula,7,Đồ thị hàm số \(y=ax^2\) (a≠0) có những tính chất cơ bản nào về tính đối xứng và vị trí so với trục hoành?,"1. Là một đường cong Parabol đi qua gốc tọa độ O(0,0). 
2. Nhận trục tung (Oy) làm trục đối xứng. 
3. Nếu a > 0, đồ thị nằm phía trên trục hoành, O là điểm thấp nhất. 
4. Nếu a < 0, đồ thị nằm phía dưới trục hoành, O là điểm cao nhất.","Những tính chất này là nền tảng để vẽ và khảo sát hàm số bậc hai dạng đơn giản, cũng như hiểu được vai trò của hệ số a trong việc quyết định hình dạng và hướng của parabol.",Nghĩ về trục đối xứng và dấu của hệ số a.,,
Concept/Theorem/Formula,7,Nếu phương trình \(ax^2+bx+c=0\) có a - b + c = 0 thì phương trình có những nghiệm nào?,"Nếu a - b + c = 0, phương trình có một nghiệm là \(x_1 = -1\) và nghiệm còn lại là \(x_2 = -c/a\).","Đây là trường hợp nhẩm nghiệm đặc biệt. Ta có thể chứng minh bằng cách thay x = -1 vào phương trình: \(a(-1)^2 + b(-1) + c = a - b + c = 0\). Theo định lý Vi-ét, \(x_1 \cdot x_2 = c/a \Rightarrow (-1) \cdot x_2 = c/a \Rightarrow x_2 = -c/a\).","Tương tự trường hợp a + b + c = 0, nhưng với nghiệm là -1.",,
Concept/Theorem/Formula,7,Công thức nghiệm thu gọn của phương trình bậc hai \(ax^2+bx+c=0\) (a≠0) được áp dụng khi nào và công thức là gì?,"Công thức nghiệm thu gọn được áp dụng khi hệ số b là số chẵn. Đặt \(b' = b/2\). 
Biệt thức delta phẩy: \(\Delta' = (b')^2 - ac\). 
- Nếu \(\Delta' > 0\), phương trình có 2 nghiệm phân biệt: \(x_{1,2} = \frac{-b' \pm \sqrt{\Delta'}}{a}\). 
- Nếu \(\Delta' = 0\), phương trình có nghiệm kép: \(x = \frac{-b'}{a}\). 
- Nếu \(\Delta' < 0\), phương trình vô nghiệm.","Công thức này giúp việc tính toán trở nên đơn giản và gọn gàng hơn khi b là số chẵn, giảm thiểu sai sót do làm việc với các số lớn.",Sử dụng b' = b/2 và \(\Delta' = (b')^2 - ac\).,,
Fill in the Blank,7,"Cho phương trình \(x^2 - 5x + 3 = 0\) có hai nghiệm \(x_1, x_2\). Giá trị của biểu thức \(A = x_1^2 + x_2^2\) là ___.",19,"Theo Vi-ét, \(x_1+x_2 = 5\) và \(x_1x_2 = 3\). 
Ta có \(A = (x_1+x_2)^2 - 2x_1x_2 = 5^2 - 2(3) = 25 - 6 = 19\).",Sử dụng hằng đẳng thức \(x_1^2+x_2^2 = (x_1+x_2)^2 - 2x_1x_2\).,,
Fill in the Blank,7,"Để parabol \(y=ax^2\) đi qua điểm M(-2; 8), giá trị của a phải là ___.",2,"Thay tọa độ điểm M vào phương trình hàm số, ta có: \(8 = a(-2)^2 \Rightarrow 8 = 4a \Rightarrow a = 2\).",Thay x = -2 và y = 8 vào phương trình.,,
Fill in the Blank,7,Phương trình \(x^2 - 2(m-1)x + m^2 = 0\) có nghiệm kép khi m = ___.,1/2,"Phương trình có nghiệm kép khi \(\Delta' = 0\). 
\(\Delta' = (-(m-1))^2 - 1 \cdot m^2 = (m-1)^2 - m^2 = m^2-2m+1-m^2 = -2m+1\). 
\(\Delta' = 0 \Leftrightarrow -2m+1=0 \Leftrightarrow m=1/2\).",Sử dụng điều kiện \(\Delta' = 0\).,,
Fill in the Blank,7,Biết hai số có tổng là 7 và tích là 12. Hai số đó là ___ và ___.,3; 4,Hai số đó là nghiệm của phương trình \(x^2 - 7x + 12 = 0\). Giải phương trình này ta được hai nghiệm là 3 và 4.,Sử dụng định lý Vi-ét đảo: \(x^2 - Sx + P = 0\).,,
Fill in the Blank,7,Phương trình \(x^2 - mx + 5 = 0\) có hai nghiệm dương phân biệt khi \(m > \sqrt{___}\).,20,"Điều kiện: Δ > 0, P > 0, S > 0. 
P = 5 > 0 (luôn đúng). S = m > 0. 
Δ = \(m^2 - 4(5) = m^2 - 20 > 0 \Rightarrow m^2 > 20\). 
Kết hợp với m > 0, ta được \(m > \sqrt{20}\).","Xét 3 điều kiện: Δ > 0, P > 0, S > 0.",,
Short Answer/Open-ended,7,"Tìm m để phương trình \(x^2 - 2x + m - 3 = 0\) có hai nghiệm phân biệt \(x_1, x_2\) thỏa mãn \(x_1^2 + x_2^2 = 10\).","1. ĐK có 2 nghiệm phân biệt: \(\Delta' = (-1)^2 - (m-3) = 1-m+3 = 4-m > 0 \Rightarrow m < 4\). 
2. Theo Vi-ét: \(x_1+x_2=2, x_1x_2=m-3\). 
3. Biến đổi điều kiện: \(x_1^2+x_2^2 = (x_1+x_2)^2 - 2x_1x_2 = 10\). 
   \(\Rightarrow 2^2 - 2(m-3) = 10 \Rightarrow 4 - 2m + 6 = 10 \Rightarrow 10 - 2m = 10 \Rightarrow m=0\). 
4. Đối chiếu ĐK: m=0 thỏa mãn m < 4. Vậy m = 0.","Đây là bài toán tìm tham số m thỏa mãn một hệ thức đối xứng giữa các nghiệm. Quy trình chuẩn là: tìm điều kiện có nghiệm, áp dụng Vi-ét, biến đổi hệ thức và giải tìm m, cuối cùng đối chiếu điều kiện.",Sử dụng Vi-ét và biến đổi \(x_1^2+x_2^2\) theo tổng và tích.,,
Short Answer/Open-ended,7,Một mảnh vườn hình chữ nhật có diện tích 192 m². Nếu tăng chiều rộng thêm 4m và giảm chiều dài đi 8m thì diện tích không đổi. Tính kích thước ban đầu của mảnh vườn.,"Gọi chiều dài là x, chiều rộng là y (m; x > 8, y > 0). 
Ta có hệ: \(\begin{cases} xy = 192 \\ (x-8)(y+4) = 192 \end{cases}\). 
Từ (2): \(xy + 4x - 8y - 32 = 192\). Thế (1) vào: \(192 + 4x - 8y - 32 = 192 \Rightarrow 4x - 8y = 32 \Rightarrow x - 2y = 8 \Rightarrow x = 2y+8\). 
Thế vào (1): \((2y+8)y = 192 \Rightarrow 2y^2+8y-192=0 \Rightarrow y^2+4y-96=0\). 
Giải ra y = 8 (nhận) hoặc y = -12 (loại). 
Với y=8, x = 2(8)+8 = 24. 
Vậy chiều dài là 24m, chiều rộng là 8m.","Đây là bài toán thực tế giải bằng cách lập hệ phương trình, trong đó có một phương trình bậc hai. Kỹ năng thế và giải phương trình bậc hai là chìa khóa.","Lập hệ hai phương trình, một cho diện tích ban đầu, một cho diện tích lúc sau.",,
Short Answer/Open-ended,7,"Cho parabol (P): \(y = x^2\) và đường thẳng (d): \(y = 2x + m\). Tìm m để (d) cắt (P) tại hai điểm phân biệt có hoành độ \(x_1, x_2\) nằm về hai phía của trục tung.","Phương trình hoành độ giao điểm: \(x^2 = 2x + m \Leftrightarrow x^2 - 2x - m = 0\). 
(d) cắt (P) tại hai điểm phân biệt nằm về hai phía trục tung khi và chỉ khi phương trình hoành độ giao điểm có hai nghiệm trái dấu. 
Điều kiện để có hai nghiệm trái dấu là \(a \cdot c < 0\). 
\(\Leftrightarrow 1 \cdot (-m) < 0 \Leftrightarrow -m < 0 \Leftrightarrow m > 0\).","Bài toán tương giao đồ thị được quy về bài toán biện luận nghiệm của phương trình hoành độ giao điểm. 'Nằm về hai phía trục tung' có nghĩa là một hoành độ dương và một hoành độ âm, tức là hai nghiệm trái dấu.",Hai điểm nằm về hai phía trục tung nghĩa là hoành độ của chúng trái dấu.,,
Identify the Error,7,"Tìm lỗi sai: Giải phương trình \(x^4 - 5x^2 + 4 = 0\). 
Đặt \(t = x^2\) (t ≥ 0). Phương trình trở thành \(t^2 - 5t + 4 = 0\). 
Giải ra \(t=1\) hoặc \(t=4\). 
Vậy phương trình có 2 nghiệm là 1 và 4.","Lỗi sai ở kết luận cuối cùng. t là ẩn phụ, nghiệm của phương trình là x. 
Phải giải tiếp: 
- Với t = 1, ta có \(x^2 = 1 \Rightarrow x = \pm 1\). 
- Với t = 4, ta có \(x^2 = 4 \Rightarrow x = \pm 2\). 
Vậy phương trình có 4 nghiệm là {1, -1, 2, -2}.",Đây là lỗi phổ biến khi giải phương trình trùng phương bằng cách đặt ẩn phụ: quên trả lại biến cũ để tìm nghiệm cuối cùng của bài toán.,"Nghiệm của phương trình là x, không phải t.",,
Identify the Error,7,"Tìm lỗi sai: Tìm m để phương trình \(x^2 - 2x + m = 0\) có hai nghiệm phân biệt. 
Lời giải: Để phương trình có hai nghiệm phân biệt thì \(\Delta > 0\). 
\(\Delta = (-2)^2 - 4m = 4 - 4m > 0 \Rightarrow 4 > 4m \Rightarrow 1 > m\). Vậy m > 1.","Lỗi sai ở bước cuối cùng: \(1 > m\) có nghĩa là \(m < 1\), không phải \(m > 1\). 
Đây là lỗi đọc bất đẳng thức.",Việc đọc và viết lại một bất đẳng thức cần sự cẩn thận. \(a > b\) tương đương với \(b < a\). Sai sót này tuy nhỏ nhưng làm thay đổi hoàn toàn kết quả bài toán.,Đọc lại bất đẳng thức cuối cùng: '1 lớn hơn m'.,,
Identify the Error,7,"Tìm lỗi sai: Cho phương trình \(x^2 - 3x - 1 = 0\) có hai nghiệm \(x_1, x_2\). Tính \(A = \frac{1}{x_1} + \frac{1}{x_2}\). 
Lời giải: Theo Vi-ét, \(x_1+x_2 = 3, x_1x_2 = 1\). 
\(A = \frac{x_1+x_2}{x_1x_2} = \frac{3}{1} = 3\).","Lỗi sai ở việc áp dụng định lý Vi-ét. Tích hai nghiệm \(x_1x_2 = c/a = -1/1 = -1\), không phải 1. 
Do đó, \(A = \frac{x_1+x_2}{x_1x_2} = \frac{3}{-1} = -3\).","Sai sót trong việc xác định các hệ số a, b, c (đặc biệt là dấu của chúng) sẽ dẫn đến việc áp dụng sai định lý Vi-ét và cho ra kết quả sai.",Kiểm tra lại giá trị của c trong phương trình.,,
Identify the Error,7,"Tìm lỗi sai: Tìm m để đồ thị \(y=x^2\) và \(y=2x-m\) tiếp xúc nhau. 
Lời giải: Phương trình hoành độ giao điểm \(x^2-2x+m=0\). Hai đồ thị tiếp xúc khi phương trình có nghiệm kép, tức là \(\Delta = 0\). 
\(\Delta = (-2)^2 - 4m = 4-4m=0 \Rightarrow m=1\).",Lời giải không có lỗi sai. Đây là một lời giải hoàn toàn chính xác. Hai đồ thị (một parabol và một đường thẳng) tiếp xúc nhau khi và chỉ khi phương trình hoành độ giao điểm của chúng có nghiệm kép.,Việc nhận diện một lời giải đúng cũng là một kỹ năng quan trọng. Bài toán này là một ứng dụng cơ bản và quan trọng của phương trình bậc hai trong hình học giải tích.,Kiểm tra lại điều kiện tiếp xúc và cách tính delta.,,
Identify the Error,7,"Tìm lỗi sai: Cho phương trình \(3x^2 - 5x + 2 = 0\). Vì \(a+b+c = 3-5+2=0\), nên phương trình có hai nghiệm là \(x_1=1\) và \(x_2=c/a=3/2\).","Lỗi sai ở việc tính nghiệm thứ hai. Công thức là \(x_2 = c/a\), không phải \(a/c\). 
Do đó, \(x_2 = 2/3\).",Đây là lỗi nhớ nhầm công thức nhẩm nghiệm. Cần phải ghi nhớ chính xác các công thức để tránh những sai sót đáng tiếc.,Nghiệm thứ hai là c/a hay a/c?,,
What's the Next Step?,7,"Để tìm giá trị lớn nhất của biểu thức \(A = 5 - 2x - x^2\), ta đã nhận ra đây là một tam thức bậc hai với hệ số a < 0. Bước tiếp theo là gì?",Biến đổi biểu thức A để đưa về dạng \(k - (x-h)^2\) bằng cách thêm bớt hằng số để tạo thành hằng đẳng thức.,"Ta có \(A = -(x^2+2x-5) = -(x^2+2x+1 - 6) = -((x+1)^2 - 6) = 6 - (x+1)^2\). Vì \((x+1)^2 \ge 0\), nên \(A \le 6\). GTLN của A là 6.",Thêm bớt để tạo ra bình phương của một tổng.,,
What's the Next Step?,7,Cho phương trình \(x^2 - (m+1)x + m = 0\). Ta nhận thấy \(a+b+c = 1 - (m+1) + m = 1 - m - 1 + m = 0\). Bước tiếp theo là gì?,Kết luận ngay lập tức rằng phương trình luôn có hai nghiệm (hoặc nghiệm kép) là \(x_1 = 1\) và \(x_2 = c/a = m\).,Việc nhận ra các trường hợp nhẩm nghiệm đặc biệt (a+b+c=0 hoặc a-b+c=0) giúp giải quyết bài toán một cách nhanh chóng mà không cần tính delta.,Sử dụng tính chất nhẩm nghiệm khi a+b+c=0.,,
What's the Next Step?,7,"Cho phương trình \(x^2 - 4x + 2 = 0\) có hai nghiệm \(x_1, x_2\). Để tính giá trị của \(A = |x_1 - x_2|\), ta đã tính \(A^2 = (x_1-x_2)^2 = (x_1+x_2)^2 - 4x_1x_2\). Bước tiếp theo là gì?",Sử dụng định lý Vi-ét để tính \(x_1+x_2 = 4\) và \(x_1x_2 = 2\). Sau đó thay vào biểu thức của \(A^2\).,Ta có \(A^2 = 4^2 - 4(2) = 16 - 8 = 8\). Từ đó suy ra \(A = \sqrt{8} = 2\sqrt{2}\). Đây là cách tính hiệu hai nghiệm mà không cần giải phương trình.,Áp dụng Vi-ét để tính tổng và tích.,,
What's the Next Step?,7,"Để tìm giao điểm của hai parabol (P1): \(y=x^2\) và (P2): \(y = -x^2+4x\), ta đã lập phương trình hoành độ giao điểm: \(x^2 = -x^2+4x\). Bước tiếp theo là gì?",Chuyển vế và giải phương trình bậc hai vừa nhận được: \(2x^2 - 4x = 0 \Leftrightarrow 2x(x-2) = 0\).,"Giải phương trình này ta sẽ tìm được hoành độ của các giao điểm. Sau đó, thay các hoành độ này vào phương trình của một trong hai parabol để tìm tung độ tương ứng.",Đưa phương trình về dạng \(ax^2+bx=0\) và giải.,,
What's the Next Step?,7,"Để giải phương trình \(\frac{x}{x-1} + \frac{x-1}{x} = \frac{5}{2}\) bằng cách đặt ẩn phụ, ta đã nhận thấy hai phân số là nghịch đảo của nhau. Bước tiếp theo là gì?",Đặt \(t = \frac{x}{x-1}\). Khi đó \(\frac{x-1}{x} = \frac{1}{t}\). Phương trình trở thành \(t + \frac{1}{t} = \frac{5}{2}\).,"Việc đặt ẩn phụ này giúp đưa một phương trình phân thức phức tạp về một phương trình bậc hai đơn giản hơn với ẩn t. Sau khi tìm được t, ta sẽ giải ngược lại để tìm x.","Đặt một phân số là t, phân số còn lại sẽ là 1/t.",,
Ordering Steps,7,"Sắp xếp các bước để tìm hai số u, v biết tổng của chúng là S và tổng bình phương của chúng là K.",Đây là bài toán đưa về việc tìm hai số khi biết tổng và tích.,"Từ tổng và tổng bình phương, ta có thể tìm được tích của hai số. Khi đã biết tổng và tích, ta có thể áp dụng định lý Vi-ét đảo để lập phương trình bậc hai và tìm ra hai số đó.","Từ \(u+v\) và \(u^2+v^2\), hãy tìm \(uv\).",,
,,,,,,"Từ giả thiết, ta có \(u+v = S\) và \(u^2+v^2 = K\).",1
,,,,,,Biến đổi \(u^2+v^2 = (u+v)^2 - 2uv\).,2
,,,,,,Thay các giá trị đã biết vào: \(K = S^2 - 2uv\).,3
,,,,,,Rút ra tích của hai số: \(uv = P = \frac{S^2-K}{2}\).,4
,,,,,,u và v là hai nghiệm của phương trình \(x^2 - Sx + P = 0\). Giải phương trình này để tìm u và v.,5
Ordering Steps,7,Sắp xếp các bước giải phương trình trùng phương \(ax^4 + bx^2 + c = 0\) (a≠0).,Đây là quy trình chuẩn để giải phương trình trùng phương.,"Phương pháp chính là đặt ẩn phụ \(t=x^2\) để đưa phương trình bậc bốn về một phương trình bậc hai. Sau khi giải tìm t, cần phải đối chiếu với điều kiện của t và giải ngược lại để tìm x.",Đặt \(t=x^2\).,,
,,,,,,Đặt ẩn phụ \(t = x^2\). Đặt điều kiện cho ẩn phụ: \(t \ge 0\).,1
,,,,,,Thay vào phương trình ban đầu để được phương trình bậc hai theo t: \(at^2 + bt + c = 0\).,2
,,,,,,"Giải phương trình bậc hai ẩn t để tìm các nghiệm \(t_1, t_2\).",3
,,,,,,Đối chiếu các nghiệm t vừa tìm được với điều kiện \(t \ge 0\). Loại các nghiệm âm.,4
,,,,,,"Với mỗi nghiệm t không âm, giải phương trình \(x^2 = t\) để tìm các nghiệm x. Kết luận tập nghiệm của phương trình ban đầu.",5
Ordering Steps,7,"Sắp xếp các bước tìm m để phương trình \(x^2 - 2mx + m^2 - 1 = 0\) có hai nghiệm \(x_1, x_2\) thỏa mãn \(x_1 = 3x_2\).",Đây là bài toán tìm tham số thỏa mãn một hệ thức không đối xứng giữa các nghiệm.,"Phương pháp là kết hợp hệ thức của đề bài với một trong hai hệ thức Vi-ét (thường là hệ thức tổng) để tạo thành một hệ phương trình hai ẩn \(x_1, x_2\). Giải hệ này để tìm \(x_1, x_2\) theo m, sau đó thay vào hệ thức Vi-ét còn lại để tìm m.",Kết hợp \(x_1=3x_2\) với \(x_1+x_2=2m\).,,
,,,,,,Tìm điều kiện để phương trình có hai nghiệm: \(\Delta' = (-m)^2 - (m^2-1) = 1 > 0\). Phương trình luôn có 2 nghiệm phân biệt với mọi m.,1
,,,,,,Áp dụng định lý Vi-ét: \(x_1+x_2 = 2m\) (1) và \(x_1x_2 = m^2-1\) (2).,2
,,,,,,Kết hợp hệ thức đề bài \(x_1=3x_2\) với (1): \(3x_2+x_2 = 2m \Rightarrow 4x_2 = 2m \Rightarrow x_2 = m/2\). Suy ra \(x_1 = 3m/2\).,3
,,,,,,"Thay \(x_1, x_2\) vừa tìm được vào phương trình (2): \((3m/2)(m/2) = m^2-1\).",4
,,,,,,Giải phương trình tìm m: \(3m^2/4 = m^2-1 \Leftrightarrow 3m^2 = 4m^2-4 \Leftrightarrow m^2=4 \Leftrightarrow m = \pm 2\).,5
Ordering Steps,7,Sắp xếp các bước vẽ đồ thị hàm số \(y = ax^2 + bx + c\) (a≠0).,Đây là quy trình chuẩn để vẽ một parabol hoàn chỉnh.,"Việc xác định đỉnh là bước quan trọng nhất vì nó là tâm đối xứng của parabol. Sau đó, xác định trục đối xứng và các giao điểm với trục tung, trục hoành (nếu có) sẽ giúp định hình parabol. Lấy thêm điểm đối xứng sẽ giúp nét vẽ chính xác hơn.",Bắt đầu bằng việc tìm tọa độ đỉnh.,,
,,,,,,"Xác định tọa độ đỉnh I của parabol: \(x_I = -b/2a\), \(y_I = -\Delta/4a\).",1
,,,,,,Vẽ trục đối xứng là đường thẳng \(x = -b/2a\).,2
,,,,,,"Tìm giao điểm của parabol với trục tung (cho x=0, tìm y=c). Tọa độ là (0, c).",3
,,,,,,"Tìm giao điểm của parabol với trục hoành (cho y=0, giải phương trình \(ax^2+bx+c=0\) để tìm x).",4
,,,,,,"Lấy thêm một vài điểm thuộc đồ thị (ví dụ, lấy điểm đối xứng với điểm (0,c) qua trục đối xứng) để vẽ đồ thị chính xác hơn. Nối các điểm lại bằng một đường cong trơn.",5
Concept/Theorem/Formula,8,Tâm của đường tròn ngoại tiếp tam giác vuông nằm ở đâu? Bán kính của nó được tính như thế nào?,"Tâm của đường tròn ngoại tiếp tam giác vuông là trung điểm của cạnh huyền. Bán kính của nó bằng một nửa độ dài cạnh huyền (R = a/2, với a là cạnh huyền).",Điều này xuất phát từ tính chất góc nội tiếp chắn nửa đường tròn bằng 90°. Bất kỳ tam giác vuông nào cũng có thể được nội tiếp trong một nửa đường tròn với cạnh huyền là đường kính.,Nghĩ về góc nội tiếp chắn nửa đường tròn.,,
